year,value
1978,13.101
1979,11.7
1980,11.23
1981,11.435
1982,11.64
1983,11.389
1984,11.454
1985,11.618
1986,11.088
1987,11.554
1988,12.131
1989,11.426
1990,11.41
1991,11.545
1992,11.399
1993,11.42
1994,11.774
1995,11.795
1996,11.769
1997,11.39
1998,11.738
1999,11.761
2000,11.747
2001,11.673
2002,11.222
2003,11.969
2004,11.961
2005,11.695
2006,11.461
2007,11.687
2008,12.239
2009,12.049
2010,12.107
2011,11.501
2012,12.004
2013,12.524
2014,12.776
2015,12.414
2016,11.202
2017,10.749
2018,11
2019,10.876
2020,11.602
2021,11.579
2022,10.726
2023,9.853
2024,3.877
